DateTime:,24:03.1,,,,,,,,,,,,,,,
name,platform,release year,publisher,north america sales,PAL sales,japan sales,rest of world sales,global sales,release date,critic score,critic outof,critic count,user score,user count,developer,rating
Pok\xc3\xa9mon: Ultra Sun and Ultra Moon,Nintendo,17th Nov 17  ,Nintendo,2.28m,1.66m,2.50m,0.38m,6.82m,,,,,,,,
Zumba Fitness,Majesco,18th Nov 10  ,Majesco,3.47m,2.62m,N/A,0.67m,6.76m,,,,,,,,
Gears of War 2    Read the review,Microsoft Game Studios,07th Nov 08  ,Microsoft Game Studios,4.15m,1.91m,0.06m,0.64m,6.75m,,,,,,,,
Uncharted 2: Among Thieves    Read the review,Sony Computer Entertainment,13th Oct 09  ,Sony Computer Entertainment,3.28m,2.22m,0.21m,1.02m,6.74m,,,,,,,,
Call of Duty 4: Modern Warfare,Activision,05th Nov 07  ,Activision,3.13m,2.27m,0.28m,1.04m,6.72m,,,,,,,,
FIFA Soccer 12,EA Sports,27th Sep 11  ,EA Sports,0.84m,4.33m,0.11m,1.37m,6.65m,,,,,,,,
Big Brain Academy,Nintendo,05th Jun 06  ,Nintendo,1.66m,2.75m,1.60m,0.62m,6.63m,,,,,,,,
FIFA 14,EA Sports,24th Sep 13  ,EA Sports,0.79m,4.77m,0.07m,0.98m,6.61m,,,,,,,,
Red Dead Redemption 2    Read the review,Rockstar Games,26th Oct 18  ,Rockstar Games,2.25m,3.14m,0.17m,1.05m,6.61m,,,,,,,,
The Last of Us Remastered,Sony Computer Entertainment,29th Jul 14  ,Sony Computer Entertainment,2.60m,2.80m,0.11m,1.07m,6.57m,,,,,,,,
Red Dead Redemption    Read the review,Rockstar Games,11th Oct 11  ,Rockstar Games,2.82m,2.58m,0.17m,1.00m,6.57m,,,,,,,,
The Legend of Zelda,Nintendo,22nd Aug 87  ,Nintendo,3.74m,0.93m,1.69m,0.14m,6.51m,,,,,,,,
"b""Assassins Creed III""",Ubisoft,30th Oct 12  ,Ubisoft,2.65m,2.61m,0.16m,1.08m,6.50m,,,,,,,,
Donkey Kong Country Returns,Nintendo,21st Nov 10  ,Nintendo,3.19m,1.81m,1.03m,0.47m,6.50m,,,,,,,,
The Elder Scrolls V: Skyrim,Bethesda Softworks,11th Nov 11  ,Bethesda Softworks,2.57m,2.68m,0.25m,0.99m,6.49m,,,,,,,,
Red Dead Redemption    Read the review,Rockstar Games,18th May 10  ,Rockstar Games,3.74m,2.02m,0.09m,0.59m,6.45m,,,,,,,,
Halo: Combat Evolved,Microsoft,14th Nov 01  ,Microsoft,4.98m,1.30m,0.08m,0.07m,6.43m,,,,,,,,
Pok\xc3\xa9mon Emerald Version,Nintendo,30th Apr 05  ,Nintendo,2.57m,1.58m,2.06m,0.21m,6.41m,,,,,,,,
Kingdom Hearts,Square EA,16th Sep 02  ,Square EA,3.64m,1.20m,1.49m,0.07m,6.40m,,,,,,,,
Pok\xc3\xa9mon Crystal Version,Nintendo,29th Jul 01  ,Nintendo,2.55m,1.56m,1.29m,0.99m,6.39m,,,,,,,,
World of Warcraft,Blizzard Entertainment,23rd Nov 04  ,Blizzard Entertainment,0.11m,6.24m,N/A,N/A,6.35m,,,,,,,,
Splatoon 2,Nintendo,21st Jul 17  ,Nintendo,1.73m,1.48m,2.84m,0.30m,6.35m,,,,,,,,
Halo 3: ODST    Read the review,Microsoft Game Studios,22nd Sep 09  ,Microsoft Game Studios,4.34m,1.34m,0.06m,0.61m,6.35m,,,,,,,,
Super Mario Sunshine    Read the review,Nintendo,25th Aug 02  ,Nintendo,4.01m,1.26m,0.87m,0.17m,6.31m,,,,,,,,
FIFA 15,EA Sports,23rd Sep 14  ,EA Sports,0.83m,4.49m,0.05m,0.94m,6.31m,,,,,,,,
Street Fighter II: The World Warrior,Capcom,01st Jul 92  ,Capcom,2.47m,0.83m,2.87m,0.12m,6.30m,,,,,,,,
The Last of Us,Sony Computer Entertainment America,14th Jun 13  ,Sony Computer Entertainment America,2.41m,2.57m,0.29m,0.99m,6.27m,,,,,,,,
Driver,GT Interactive,30th Jun 99  ,GT Interactive,3.11m,2.80m,0.02m,0.33m,6.27m,,,,,,,,
Kinect Sports,Microsoft Game Studios,04th Nov 10  ,Microsoft Game Studios,3.92m,1.73m,0.03m,0.55m,6.23m,,,,,,,,
Gears of War 3,Microsoft Studios,20th Sep 11  ,Microsoft Studios,4.05m,1.59m,0.07m,0.50m,6.22m,,,,,,,,
Call of Duty: WWII,Activision,03rd Nov 17  ,Activision,3.72m,1.90m,N/A,0.56m,6.17m,,,,,,,,
Gears of War    Read the review,Microsoft Game Studios,07th Nov 06  ,Microsoft Game Studios,3.54m,1.88m,0.07m,0.60m,6.09m,,,,,,,,
Metal Gear Solid 2: Sons of Liberty,Konami,12th Nov 01  ,Konami,2.45m,2.01m,0.87m,0.72m,6.05m,,,,,,,,
Sonic the Hedgehog 2,Sega,20th Nov 92  ,Sega,4.47m,1.20m,0.16m,0.19m,6.03m,,,,,,,,
Metal Gear Solid,Konami,21st Oct 98  ,Konami,3.18m,1.83m,0.78m,0.24m,6.03m,,,,,,,,
Minecraft,Sony Computer Entertainment America,16th May 14  ,Sony Computer Entertainment America,2.19m,2.84m,N/A,0.98m,6.01m,,,,,,,,
Metal Gear Solid 4: Guns of the Patriots    Read the review,Konami,12th Jun 08  ,Konami,2.63m,1.72m,0.83m,0.81m,6.00m,,,,,,,,
Minecraft,Sony Computer Entertainment,07th Oct 14  ,Sony Computer Entertainment,1.79m,2.96m,0.34m,0.91m,5.99m,,,,,,,,
Final Fantasy XII,Square Enix,31st Oct 06  ,Square Enix,1.88m,0.00m,2.33m,1.74m,5.95m,,,,,,,,
LittleBigPlanet    Read the review,Sony Computer Entertainment,28th Oct 08  ,Sony Computer Entertainment,2.80m,2.01m,0.17m,0.87m,5.85m,,,,,,,,
Resident Evil 2,Capcom,21st Jan 98  ,Capcom,1.88m,1.47m,2.02m,0.45m,5.82m,,,,,,,,
Tomodachi Life,Nintendo,06th Jun 14  ,Nintendo,0.96m,2.60m,1.98m,0.27m,5.82m,,,,,,,,
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,11th Jul 10  ,Nintendo,0.63m,0.67m,4.35m,0.15m,5.79m,,,,,,,,
Destiny,Activision,09th Sep 14  ,Activision,2.53m,2.13m,0.16m,0.94m,5.76m,,,,,,,,
FIFA 19,Electronic Arts,28th Sep 18  ,Electronic Arts,0.53m,4.30m,0.09m,0.84m,5.75m,,,,,,,,
Tekken 2,Namco,25th Aug 96  ,Namco,2.26m,1.89m,1.36m,0.23m,5.74m,,,,,,,,
LEGO Star Wars: The Complete Saga,LucasArts,06th Nov 07  ,LucasArts,3.57m,1.57m,N/A,0.52m,5.66m,,,,,,,,
Cooking Mama,Majesco,12th Sep 06  ,Majesco,3.09m,1.92m,0.07m,0.58m,5.66m,,,,,,,,
New Super Mario Bros. U,Nintendo,18th Nov 12  ,Nintendo,2.30m,1.62m,1.32m,0.37m,5.61m,,,,,,,,
"b""Marvels Spider-Man    Read the review""",Sony Interactive Entertainment,07th Sep 18  ,Sony Interactive Entertainment,2.32m,2.08m,0.30m,0.89m,5.59m,,,,,,,,
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,07th Oct 15  ,Sony Computer Entertainment,2.46m,2.10m,0.10m,0.92m,5.58m,,,,,,,,
Tetris,Nintendo,01st Nov 89  ,Nintendo,2.97m,0.69m,1.81m,0.11m,5.58m,,,,,,,,
"b""Assassins Creed II    Read the review""",Ubisoft,17th Nov 09  ,Ubisoft,2.54m,1.95m,0.21m,0.86m,5.57m,,,,,,,,
Super Smash Bros.,Nintendo,26th Apr 99  ,Nintendo,2.95m,0.60m,1.97m,0.04m,5.55m,,,,,,,,
"b""Assassins Creed    Read the review""",Ubisoft,13th Nov 07  ,Ubisoft,3.28m,1.64m,0.07m,0.56m,5.55m,,,,,,,,
Batman: Arkham City,Warner Bros. Interactive,18th Oct 11  ,Warner Bros. Interactive,2.72m,1.89m,0.11m,0.82m,5.54m,,,,,,,,
Forza Motorsport 3,Microsoft Game Studios,27th Oct 09  ,Microsoft Game Studios,2.99m,1.90m,0.10m,0.51m,5.50m,,,,,,,,
Monster Hunter Freedom Unite,Capcom,23rd Jun 09  ,Capcom,0.47m,0.57m,4.13m,0.34m,5.50m,,,,,,,,
Super Mario Advance,Nintendo,10th Jun 01  ,Nintendo,3.14m,1.24m,0.91m,0.20m,5.49m,,,,,,,,
Mario Kart: Super Circuit,Nintendo,26th Aug 01  ,Nintendo,2.62m,1.64m,0.99m,0.23m,5.47m,,,,,,,,
Super Mario World: Super Mario Advance 2,Nintendo,09th Feb 02  ,Nintendo,3.21m,1.11m,0.95m,0.20m,5.46m,,,,,,,,
Super Mario World: Super Mario Advance 2,Nintendo,09th Feb 02  ,Nintendo,3.21m,1.11m,0.95m,0.20m,5.46m,,,,,,,,
Pok\xc3\xa9mon Stadium,Nintendo,06th Mar 00  ,Nintendo,3.18m,1.24m,0.94m,0.09m,5.45m,,,,,,,,
Horizon: Zero Dawn,Sony Interactive Entertainment,28th Feb 17  ,Sony Interactive Entertainment,1.99m,2.32m,0.28m,0.85m,5.43m,,,,,,,,
Call of Duty: World at War    Read the review,Activision,10th Nov 08  ,Activision,2.74m,1.84m,N/A,0.84m,5.43m,,,,,,,,
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,29th Oct 01  ,Universal Interactive,2.07m,2.29m,0.24m,0.82m,5.42m,,,,,,,,
