DateTime:,24:03.1,,,,,,,,,,,,,,,
name,platform,release year,publisher,north america sales,PAL sales,japan sales,rest of world sales,global sales,release date,critic score,critic outof,critic count,user score,user count,developer,rating
Taz-Mania 2,THQ,18th Oct 96  ,THQ,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tecmo Bowl,Tecmo,01st Sep 91  ,Tecmo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tecmo Bowl 2,Tecmo,24th Dec 94  ,Tecmo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tekichuu Rush,Nippon Clary Business,30th Jul 93  ,Nippon Clary Business,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Heisei Shin Oniga Shima: Zenpen,Nintendo,01st Dec 97  ,Nintendo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tetris Blast,Nintendo,01st Jan 96  ,Nintendo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tetris Plus,Jaleco,01st Aug 97  ,Jaleco,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Thunderbirds,SCi,01st Dec 00  ,SCi,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tintin in Tibet,Infogrames,01st Jan 95  ,Infogrames,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Tiny Toon Adventures: Babs Big Break""",Konami,01st Feb 92  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Tiny Toon Adventures 2: Montanas Movie Madness""",Konami,01st Nov 93  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Shin Megami Tensei,Atlus,30th Oct 92  ,Atlus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Grandia: Parallel Trippers,Hudson Soft,22nd Dec 00  ,Hudson Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Shin Megami Tensei: Devil Children: Shiro no Sho,Atlus,27th Jul 01  ,Atlus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Wizardry II: Llygamyn no Isan,ASCII Entertainment,23rd Feb 01  ,ASCII Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Wizardry III: Diamond no Kishi,ASCII Entertainment,23rd Feb 01  ,ASCII Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tiny Toon Adventures: Wacky Sports,Konami,01st Dec 94  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tip Off,Imagineer,01st Jan 93  ,Imagineer,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Titus the Fox,Titus,01st Jun 93  ,Titus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Tokoros Mahjong Jr.""",Vic Tokai,22nd Dec 94  ,Vic Tokai,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tokyo Disneyland: Fantasy Tour,Tomy Corporation,24th Jul 98  ,Tomy Corporation,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tokyo Disneyland: Mickey no Cinderella Shiro Mystery Tour,Tomy Corporation,22nd Dec 95  ,Tomy Corporation,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tom & Jerry,Hi Tech Expressions,01st Oct 92  ,Hi Tech Expressions,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tom and Jerry: Frantic Antics,Hi Tech Expressions,01st Oct 93  ,Hi Tech Expressions,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Top Gun: Guts and Glory,Konami,11th Jan 93  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Top Rank Tennis,Nintendo,01st May 93  ,Nintendo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Torpedo Range,Romstar,01st Nov 96  ,Romstar,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Total Carnage,Malibu Games,01st Feb 94  ,Malibu Games,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Toxic Crusaders,Bandai,01st Sep 92  ,Bandai,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Track Meet,Interplay,01st Jan 91  ,Interplay,N/A,N/A,N/A,N/A,N/A,,,,,,,,
After... Wasureemu Kizuna,Pione Soft,26th Feb 04  ,Pione Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Aikagi,NEC Interchannel,25th Sep 03  ,NEC Interchannel,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Trax,Electro Brain,01st Sep 91  ,Electro Brain,N/A,N/A,N/A,N/A,N/A,,,,,,,,
True Lies,LJN,01st Feb 95  ,LJN,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Shin Megami Tensei: Devil Children: Kuro no Sho,Atlus,17th Nov 00  ,Atlus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Trump Boy,Pack-In-Video,29th Mar 90  ,Pack-In-Video,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Shin Megami Tensei: Devil Children: Aka no Sho,Atlus,17th Nov 00  ,Atlus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Trump Boy II,Pack-In-Video,09th Nov 90  ,Pack-In-Video,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Trump Collection G,Bottom Up,28th Nov 97  ,Bottom Up,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tumble Pop,Sunsoft,01st Mar 93  ,Sunsoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Turn and Burn: F-14 Dogfight Simulator,Absolute Entertainment,01st May 92  ,Absolute Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Turok: Battle of the Bionosaurs,Acclaim Entertainment,06th Aug 98  ,Acclaim Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
TV Champion,Yutaka,28th Oct 94  ,Yutaka,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Twin,Athena,31st Jan 92  ,Athena,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Popn TwinBee""",Konami,01st Jan 94  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Warhawk,Sony Computer Entertainment,28th Aug 07  ,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Andre Agassi Tennis,Sega,01st Jan 93  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Arcade Classics,Sega,01st Jan 96  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Arena: Maze of Death,Sega,01st Jan 96  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Flight Unlimited,Unknown,N/A  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Asterix and the Great Rescue,Sega,01st Jan 95  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Asterix and the Secret Mission,Sega,01st Jan 93  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Batter Up,Namco,01st Jan 91  ,Namco,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Overlord,Virgin Interactive,24th Jan 93  ,Virgin Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Final Fantasy Crystal Chronicles: My Life as a King    Read the review,Square Enix,12th May 08  ,Square Enix,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Waterhorse: Legend of the Deep,Blast! Entertainment Ltd,14th Mar 08  ,Blast! Entertainment Ltd,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Berenstain Bears: Camping Adventure,Sega,01st Jan 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Bram Stokers Dracula""",Sony Imagesoft,01st Jan 93  ,Sony Imagesoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Bugs Bunny in Double Trouble,Sega,01st Jan 96  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Buster Ball,Riverhillsoft,20th Mar 92  ,Riverhillsoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Choplifter III,Extreme Entertainment Group,01st Jan 95  ,Extreme Entertainment Group,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Chuck Rock II: Son of Chuck,Virgin Interactive,01st Jan 93  ,Virgin Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Clutch Hitter,Sega,01st Jan 91  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Coca-Cola Kid,Sega,05th Aug 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Daffy Duck in Hollywood,Sega,01st Jan 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Under a Killing Moon,Unknown,31st Oct 94  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Tex Murphy: Overseer,Unknown,28th Feb 98  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
War Breeds,Unknown,N/A  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Disneys Bonkers: Wax Up!""",Sega,01st Jan 95  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Lucky Dime Caper starring Donald Duck,Sega,01st Jan 92  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Painkiller: Battle out of Hell,DreamCatcher Interactive,01st Dec 04  ,DreamCatcher Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Commanders: Attack of the Genos,Sierra Entertainment,13th Feb 08  ,Sierra Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Contra,Konami,08th Nov 06  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Eets: Chowdown!,Klei Entertainment,25th Apr 07  ,Klei Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jetpac Refuelled,Microsoft Game Studios,28th Mar 07  ,Microsoft Game Studios,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Marble Blast Ultra,Microsoft,23rd Jan 06  ,Microsoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Missile Command,Atari,04th Jul 07  ,Atari,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Omega Five,Hudson Soft,09th Jan 08  ,Hudson Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Outpost Kaloki X,NinjaBee,22nd Nov 05  ,NinjaBee,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Rocketmen: Axis of Evil,Capcom,05th Mar 08  ,Capcom,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Wik & The Fable of Souls,Microsoft,15th Dec 05  ,Microsoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
N+    Read the review,Metanet Software Inc.,20th Feb 08  ,Metanet Software Inc.,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Streets of Rage 2,Sega,29th Aug 07  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Smash TV,Midway Games,24th Nov 05  ,Midway Games,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Heavy Weapon: Atomic Tank,PopCap Games,17th Jan 07  ,PopCap Games,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Theme Park,Ocean,11th Nov 96  ,Ocean,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Addams Family,Flying Edge,01st Jan 92  ,Flying Edge,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Aerial Assault,Sega,01st Jan 90  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Air Rescue,Sega,01st Jan 92  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Assault City,Sega,01st Jan 90  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Black Belt,Sega,01st Jan 86  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Buggy Run,Sega,01st Jan 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Casino Games,Sega,01st Jan 89  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Desert Strike,Domark Software,01st Jan 92  ,Domark Software,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Flintstones,Sega,01st Jan 93  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gangster Town,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Baseball,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Basketball,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Football,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Golf,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Ice Hockey,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Soccer,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Great Volleyball,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Incredible Hulk,U.S. Gold,01st Jan 94  ,U.S. Gold,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Joe Montana Football,Sega,01st Jan 90  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
James Bond 007: The Duel,Domark Software,01st Jan 93  ,Domark Software,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jurassic Park,Sega,01st Jan 93  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Lion King,Virgin Interactive,01st Jan 94  ,Virgin Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Monopoly,Sega,01st Jan 88  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Ms. Pac-Man,Tengen,01st Jan 91  ,Tengen,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Ninja,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Olympic Gold: Barcelona 92""",Sega,01st Jan 92  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Pac-Mania,TecMagik,01st Jan 91  ,TecMagik,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Pro Wrestling,Sega,01st Jan 86  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Rambo: First Blood Part II,Sega,01st Jan 86  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Rambo III,Sega,01st Jan 88  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Rocky,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hang On & Safari Hunt,Sega,01st Jan 86  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Sega Chess,Sega,01st Jan 91  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Shooting Gallery,Sega,01st Jan 87  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Slap Shot,Sega,01st Jan 90  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Star Wars,U.S. Gold,01st Jan 93  ,U.S. Gold,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Submarine Attack,Unknown,N/A  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Wimbledon,Sega,01st Jan 92  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Wimbledon II,Sega,01st Jan 93  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Cruisn USA""",Nintendo,31st Mar 08  ,Nintendo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Popful Mail,Working Designs,23rd Feb 95  ,Working Designs,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""World Cup Italia 90""",Sega,01st Jan 90  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Super Spike VBall / Nintendo World Cup""",Nintendo,01st Feb 90  ,Nintendo,N/A,N/A,N/A,N/A,N/A,,,,,,,,
3-D WorldRunner,Acclaim Entertainment,01st Sep 87  ,Acclaim Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
A Nightmare on Elm Street,LJN,01st Oct 90  ,LJN,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""The Adventures of Gilligans Island""",Bandai,01st Jul 90  ,Bandai,N/A,N/A,N/A,N/A,N/A,,,,,,,,
G.I. Joe: A Real American Hero,Taxan,01st Jan 91  ,Taxan,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gemfire,KOEI,01st Mar 92  ,KOEI,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Genghis Khan,KOEI,01st Jan 89  ,KOEI,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""George Foremans KO Boxing""",Acclaim Entertainment,01st Dec 92  ,Acclaim Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Dragonshard,Atari,02nd Oct 05  ,Atari,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Croc: Legend of the Gobbos,Fox Interactive,26th Nov 97  ,Fox Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gauntlet II,Mindscape,01st Sep 90  ,Mindscape,N/A,N/A,N/A,N/A,N/A,,,,,,,,
G.I. Joe: The Atlantis Factor,Capcom,01st Mar 92  ,Capcom,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gaia no Monshou,NCS,23rd Sep 88  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gaiflame,NCS,26th Jan 90  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Ganbare! Golf Boys,NCS,28th Mar 89  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gekibo: Gekisha Boy,Irem Software Engineering,02nd Oct 92  ,Irem Software Engineering,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Genji Tsuushin Agedama,NEC,13th Dec 91  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Genpei Toumaden,Namco,16th Mar 90  ,Namco,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Ghost Manor,Turbo Technologies,01st Jan 92  ,Turbo Technologies,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gokuraku! Chuuka Taisen,Taito,13th Mar 92  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gomola Speed,UPL,28th Sep 90  ,UPL,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gradius,Konami,15th Nov 91  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gunboat,NEC,01st Jan 92  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Sidearms,Unknown,01st Jan 89  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hana Taaka Daka!?,Taito,09th Aug 91  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hany in the Sky,FACE,01st Mar 89  ,FACE,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hany on the Road,FACE,14th Sep 90  ,FACE,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hatris,Micro Cabin,24th May 91  ,Micro Cabin,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Heavy Unit,Taito,22nd Dec 89  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Hit the Ice,NEC,01st Jan 92  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Honoo no Doukyuuji: Dodge Danpei,Hudson Soft,25th Sep 92  ,Hudson Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Dropzone,Codemasters,01st Jan 94  ,Codemasters,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Dunk Kids,Sega,16th Sep 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Ernie Els Golf,Codemasters,01st Jan 94  ,Codemasters,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Eternal Legend: Eien no Densetsu,Sega,09th Aug 91  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Evander Real Deal Holyfields Boxing""",Sega,01st Jan 92  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Persona 2: Innocent Sin,Atlus,24th Jun 99  ,Atlus,N/A,N/A,N/A,N/A,N/A,,,,,,,,
WipEout HD    Read the review,Sony Computer Entertainment,25th Sep 08  ,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
flOw,Sony Computer Entertainment,06th Mar 08  ,Sony Computer Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Medal of Honor: Spearhead,Electronic Arts,11th Nov 02  ,Electronic Arts,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Medal of Honor: Breakthrough,Electronic Arts,22nd Sep 03  ,Electronic Arts,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Call of Duty: United Offensive,Activision,14th Sep 04  ,Activision,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Judge Dredd: Dredd Vs Death,Evolved Games,03rd Mar 05  ,Evolved Games,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Aliens versus Predator 2,Fox Interactive,31st Oct 01  ,Fox Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Aliens versus Predator 2: Primal Hunt,Sierra Entertainment,13th Aug 02  ,Sierra Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Isolated Warrior,Vap,01st Feb 91  ,Vap,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Faceball 2000,Riverhillsoft,17th Dec 93  ,Riverhillsoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Factory Panic,Sega,01st Jan 91  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Fantastic Dizzy,Codemasters,01st Jan 93  ,Codemasters,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Fatal Fury Special,Takara,01st Jan 94  ,Takara,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""FIFA Soccer 95""",Electronic Arts,01st Jan 94  ,Electronic Arts,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Foreman For Real,Acclaim Entertainment,01st Jan 95  ,Acclaim Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Frank Thomas Big Hurt Baseball,Acclaim Entertainment,01st Jan 95  ,Acclaim Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Fray: Shuugyouhen,Micro Cabin,27th Dec 91  ,Micro Cabin,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Fred Couples Golf,Sega,01st Jan 94  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Idol Hanafuda Fan Clu,Unknown,01st Jan 91  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Image Fight,Irem Software Engineering,27th Jul 90  ,Irem Software Engineering,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Impossamole,NEC,01st Oct 91  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
J-League Greatest Eleven,Nichibutsu,14th May 93  ,Nichibutsu,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jack Nicklaus: Turbo Golf,Accolade,01st Jan 90  ,Accolade,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Jackie Chans Action Kung Fu""",Hudson Soft,01st Jan 92  ,Hudson Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jigoku Meguri,Taito,03rd Aug 90  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jinmu Denshou,Unknown,23rd Jun 89  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jaseiken Necromancer,Hudson Soft,22nd Jan 88  ,Hudson Soft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Jyuouki,NEC Avenue,29th Sep 89  ,NEC Avenue,N/A,N/A,N/A,N/A,N/A,,,,,,,,
UEFA Euro 2008 Austria-Switzerland,Electronic Arts,18th Apr 08  ,Electronic Arts,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kaizou Chounin Shubibinman,NCS,18th Mar 89  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kattobi! Takuhai-Kun,Tonkin House,09th Nov 90  ,Tonkin House,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Keith Courage in Alpha Zones,NEC,01st Jan 89  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
KickBall,NCS,24th Nov 90  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kiki Kai Kai,Taito,27th Mar 90  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
King of Casino,NEC,01st Jan 90  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Klax,Tengen,01st Jan 90  ,Tengen,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Knight Rider Special,Pack-In-Video,22nd Dec 89  ,Pack-In-Video,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Kore ga Pro Yakyuu 89""",Intec,20th Dec 89  ,Intec,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Kore ga Pro Yakyuu 90""",Intec,29th Jun 90  ,Intec,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kyukyoku Mahjong,Unknown,01st Jan 92  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kyukyoku Mahjong II,Unknown,01st Jan 92  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kyuukyoku Tiger,Taito,31st Mar 89  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Lady Sword,Unknown,01st Jan 92  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Legendary Axe II,NEC,01st Jan 90  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Legendary Axe,NEC,01st Jan 89  ,NEC,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Mizubaku Daibouken,Taito,17th Jan 92  ,Taito,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Lode Runner: Lost Labyrinth,Pack-In-Video,27th Jul 90  ,Pack-In-Video,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Kisekae Series 2: Oshare Nikki,Victor Interactive,23rd Mar 01  ,Victor Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Othello Millennium,Unknown,08th Oct 99  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Azure Dreams,Konami,01st Jan 99  ,Konami,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Ou Dorobou Jing: Angel / Devil Version,NCS,12th Mar 99  ,NCS,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Mega Man Legends 2,Capcom,24th Oct 00  ,Capcom,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Medarot: Parts Collection,Imagineer,20th Mar 98  ,Imagineer,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""Galaga 91""",Namco,25th Oct 91  ,Namco,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Midori no Makibao,Tomy Corporation,21st Dec 96  ,Tomy Corporation,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gamble Panic,Sega,27th Jan 95  ,Sega,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Gear Works,Sony Imagesoft,01st Jan 94  ,Sony Imagesoft,N/A,N/A,N/A,N/A,N/A,,,,,,,,
"b""George Foremans KO Boxing""",Flying Edge,01st Jan 92  ,Flying Edge,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Formula 1 Racing,Eidos Interactive,30th Jun 99  ,Eidos Interactive,N/A,N/A,N/A,N/A,N/A,,,,,,,,
The Flintstones: Burger Time in Bedrock,Unknown,30th May 01  ,Unknown,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Force 21,Red Storm Entertainment,01st Dec 00  ,Red Storm Entertainment,N/A,N/A,N/A,N/A,N/A,,,,,,,,
